,title,link,pubDate,description,page_owner,subject,date_index
0,Attend DOCX filing training,https://www.uspto.gov/about-us/events/attend-docx-filing-training-193,"Thu, 11 Jul 2024 14:00:00 EST","Join us online July 11, 2-3 p.m. ET to learn how to file patent-related documents in DOCX format using Patent Center. You will hear from experts on our eCommerce Modernization (eMod) team, who will provide demonstrations and answer your questions. This session is one of several free training sessions found on the DOCX filing series page.Instructions for joining the Webex training session will be provided via email to each registrant.DOCX is a word processing file format based on open standards and is supported by many popular word processing applications. As an open standard format, DOCX offers a safe and stable basis for authoring and processing intellectual property documents. Learn more about filing in DOCX in this hour-long session.We encourage you to explore DOCX filing using the Patent Center training mode at any time. Training mode does not save or store data in our systems.Register todayFor more information, please email eMod@uspto.gov. To provide feedback, please visit the eMod IdeaScale.",ecommerce,Patent Center,20240711
38,"Trademark Basics Boot Camp, Module 2: Registration process overview",https://www.uspto.gov/about-us/events/trademark-basics-boot-camp-module-2-registration-process-overview-12,"Tue, 16 Jul 2024 14:00:00 EST","Are you a small business owner or entrepreneur interested in learning about trademarks and how to apply for a federal registration? If so, this event is a must-attend. In this second module of our eight-part virtual Trademark Basics Boot Camp, we’ll focus on the overall trademark registration process, from filing to registration. Understanding the process is critical to avoid missing any filing deadlines, which could jeopardize your application or registration. The event is free, but space is limited, so register early.In this module, we will cover the following topics:Trademark basicsApplication workflow and timeline overviewPost-registration workflow overviewFinding helpThis module will be presented live via Webex from 2-3:30 p.m. ET on Tuesday, July 16, 2024, and will conclude with a question-and-answer session. Please register by July 15.Register todayBe sure to check out our other boot camp modules running consecutively every week for the eight-week duration. You can attend the whole series or just the specific modules that best meet your needs. Separate registration is required for each module. After each event, we'll email registrants links to a video recording of the module and a PDF of the presentation materials. You will only receive access to the recording if you are signed up for that module.For questions about the event or the boot camp series, please contact TMWebinar@uspto.gov.",Trademarks,"Trademarks, Basic Facts, Education, Atlantic, Alexandria VA (Headquarters), Dallas, Denver, Silicon Valley, Detroit",20240716
39,"The Path to a Patent, Part II: Drafting provisional patent applications",https://www.uspto.gov/about-us/events/path-patent-part-ii-drafting-provisional-patent-applications-6,"Thu, 18 Jul 2024 14:00:00 EST","In part two of this eight-part recurring series, our experts discuss key differences between provisional and nonprovisional patent applications, filing requirements and fees, the different ways to file a provisional application, and more.Register todayFor more information, please email SiliconValley@uspto.gov or RockyMountain@uspto.gov.",Svalley,"Alexandria VA (Headquarters), Dallas, Denver, Silicon Valley, Detroit, Patents",20240718
40,"Trademark Basics Boot Camp, Module 3: Searching",https://www.uspto.gov/about-us/events/trademark-basics-boot-camp-module-3-searching-12,"Tue, 23 Jul 2024 14:00:00 EST","Are you a small business owner or entrepreneur interested in learning about trademarks and how to apply for a federal registration? If so, this event is a must-attend. In this third module of our eight-part virtual Trademark Basics Boot Camp, we'll focus on important principles related to federal trademark clearance searching and effective use of the USPTO’s trademark database. The event is free, but space is limited, so register early.This module will cover the following topics:Trademark basicsLikelihood of confusionFederal trademark searchingFinding help  This module will be presented live via Webex from 2-3:30 p.m. ET on Tuesday, July 23, 2024, and will conclude with a question-and-answer session. Please register by July 22.Register todayBe sure to check out our other boot camp modules running consecutively every week for the eight-week duration. You can attend the whole series or just the specific modules that best meet your needs. Separate registration is required for each module. After each event, we'll email registrants links to a video recording of the module and a PDF of the presentation materials. You will only receive access to the recording if you are signed up for that module.For questions about the event or the boot camp series, please contact TMWebinar@uspto.gov.",Trademarks,"Trademarks, Basic Facts, Education, Atlantic, Alexandria VA (Headquarters), Dallas, Denver, Silicon Valley, Detroit",20240723
0,Attend DOCX filing training,https://www.uspto.gov/about-us/events/attend-docx-filing-training-192,"Tue, 23 Jul 2024 13:00:00 EST","Join us online July 23, 1-2 p.m. ET to learn how to file patent-related documents in DOCX format using Patent Center. You will hear from experts on our eCommerce Modernization (eMod) team, who will provide demonstrations and answer your questions. This session is one of several free training sessions found on the DOCX filing series page.Instructions for joining the Webex training session will be provided via email to each registrant.DOCX is a word processing file format based on open standards and is supported by many popular word processing applications. As an open standard format, DOCX offers a safe and stable basis for authoring and processing intellectual property documents. Learn more about filing in DOCX in this hour-long session.We encourage you to explore DOCX filing using the Patent Center training mode at any time. Training mode does not save or store data in our systems.Register todayFor more information, please email eMod@uspto.gov. To provide feedback, please visit the eMod IdeaScale.",ecommerce,Patent Center,20240723
41,Successful Inventing: Your elevator pitch and plan,https://www.uspto.gov/about-us/events/successful-inventing-your-elevator-pitch-and-plan,"Wed, 24 Jul 2024 14:00:00 EST","Are you new to the invention process? If so, register today for the fifth event in the Successful Inventing series, presented by the United States Patent and Trademark Office and the Licensing Executives Society - Silicon Valley Chapter. During the fifth session, focused on your elevator pitch and plan, we will address the following topics:What is your message? Short and to the point.What do companies expect to see from inventors?What companies to approach and why?What are the licensing odds for success?Register todayThe Successful Inventing series covers various aspects of the invention process. Each biweekly session is held virtually. Participants will hear experts discuss topics that include intellectual property, product development, licensing, funding, and more.A question-and-answer session will follow the presentation. Please send your questions in advance or during the event to SiliconValley@uspto.gov.For more information, please email SiliconValley@uspto.gov.",Svalley,"Patents, Trademarks, Alexandria VA (Headquarters), Dallas, Denver, Silicon Valley, Detroit",20240724
42,"The Path to a Patent, Part III: Patent searching",https://www.uspto.gov/about-us/events/path-patent-part-iii-patent-searching-8,"Thu, 25 Jul 2024 14:00:00 EST","Are you interested in learning more about patent searching?In part three of this eight-part recurring series, our experts will discuss preliminary searching using the suggested seven-step strategy and more.Register todayFor more information, please email SiliconValley@uspto.gov or RockyMountain@uspto.gov.",Svalley,"Alexandria VA (Headquarters), Dallas, Denver, Silicon Valley, Detroit, Patents",20240725
43,"Trademark Basics Boot Camp, Module 4: Application requirements",https://www.uspto.gov/about-us/events/trademark-basics-boot-camp-module-4-application-requirements-12,"Tue, 30 Jul 2024 14:00:00 EST","Are you a small business owner or entrepreneur interested in learning about trademarks and how to apply for a federal registration? If so, this event is a must-attend. In this fourth module of our eight-part virtual Trademark Basics Boot Camp, we’ll focus on the requirements for an initial trademark application. Knowing what is needed up front will help your filing process go more smoothly. The event is free, but space is limited, so register early.This module will cover the following topics:Trademark basicsDrawingsIdentifications of goods and servicesFiling basesSpecimens and ornamentationFinding helpThis module will be presented live via Webex from 2-3:30 p.m. ET on Tuesday, July 30, 2024, and will conclude with a question-and-answer session. Please register by July 29. Register todayBe sure to check out our other boot camp modules running consecutively every week for the eight-week duration. You can attend the whole series or just the specific modules that best meet your needs. Separate registration is required for each module. After each event, we'll email registrants links to a video recording of the module and a PDF of the presentation materials. You will only receive access to the recording if you are signed up for that module.For questions about the event or the boot camp series, please contact TMWebinar@uspto.gov.",Trademarks,"Trademarks, Basic Facts, Education, Atlantic, Alexandria VA (Headquarters), Dallas, Denver, Silicon Valley, Detroit",20240730
44,"The Path to a Patent, Part IV: Learn how to draft a patent application",https://www.uspto.gov/about-us/events/path-patent-part-iv-learn-how-draft-patent-application-7,"Thu, 01 Aug 2024 14:00:00 EST","Understanding patent application drafting is a vital step in protecting your invention. In part four of this eight-part recurring series, our experts will discuss the formalities and requirements of drafting a patent application, as well as how to avoid common mistakes. To gain the most from this workshop, we suggest participants have an intermediate knowledge of the intellectual property (IP) system in general, and patents specifically. We recommend that you take the previous course in the series, Part I: IP basics, prior to registering for this webinar.Register todayFor more information, please email SiliconValley@uspto.gov or RockyMountain@uspto.gov.",Svalley,"Patents, Alexandria VA (Headquarters), Dallas, Denver, Silicon Valley, Detroit",20240801
45,"Trademark Basics Boot Camp, Module 5: Application filing walk-through",https://www.uspto.gov/about-us/events/trademark-basics-boot-camp-module-5-application-filing-walk-through-12,"Tue, 06 Aug 2024 14:00:00 EST","Are you a small business owner or entrepreneur interested in learning about trademarks and how to apply for a federal registration? If so, this event is a must-attend. In this fifth module of our eight-part virtual Trademark Basics Boot Camp, we’ll focus on the USPTO’s Trademark Electronic Application System (TEAS), including a live demonstration of a trademark filing. TEAS is the required system for making any trademark submission to the USPTO. The event is free, but space is limited, so register early.This module will cover the following topics:Trademark basicsTEAS basicsTEAS pre-filing checklistTEAS Plus demonstrationFinding helpThis module will be presented live via Webex from 2-3:30 p.m. ET on Tuesday, August 6, 2024, and will conclude with a question-and-answer session. Please register by August 5.Register todayBe sure to check out our other boot camp modules running consecutively every week for the eight-week duration. You can attend the whole series or just the specific modules that best meet your needs. Separate registration is required for each module. After each event, we'll email registrants links to a video recording of the module and a PDF of the presentation materials. You will only receive access to the recording if you are signed up for that module.For questions about the event or the boot camp series, please contact TMWebinar@uspto.gov.",Trademarks,"Trademarks, Basic Facts, Education, Atlantic, Alexandria VA (Headquarters), Dallas, Denver, Silicon Valley, Detroit",20240806
46,Successful Inventing: Early-stage funding,https://www.uspto.gov/about-us/events/successful-inventing-early-stage-funding-0,"Wed, 07 Aug 2024 14:00:00 EST","Are you new to the invention process? If so, register today for the sixth virtual event in the Successful Inventing series, presented by the United States Patent and Trademark Office (USPTO) and the Licensing Executives Society - Silicon Valley Chapter (LES-SVC).The sixth session focuses on early-stage funding and will address the following:The 4-F's, angels, venture, and banksInformal, formal, and growth business plansFederal and state grants and resourcesIncubators and acceleratorsHow you will reach the customerWhy and how it will succeedRegister todayThe Successful Inventing series covers various aspects of the invention process. Each biweekly session is held virtually. Participants will hear experts discuss topics that include intellectual property (IP), product development, licensing, funding, and more.A question-and-answer session will follow the presentation. Please send your questions in advance or during the event to SiliconValley@uspto.gov.For more information, please email SiliconValley@uspto.gov.",Svalley,"Patents, Trademarks, Alexandria VA (Headquarters), Dallas, Denver, Silicon Valley, Detroit",20240807
47,"The Path to a Patent, Part V: Understanding the role of claims in a patent application",https://www.uspto.gov/about-us/events/path-patent-part-v-understanding-role-claims-patent-application-6,"Thu, 08 Aug 2024 14:00:00 EST","Are you an inventor preparing to file a patent application? In part five of this eight-part recurring series, our experts will discuss the parts of the claim, show examples of claim illustrations from issued U.S. patents, and help participants develop a better appreciation of how a patent examiner views a claim. To get the most out of this workshop, you should have an intermediate knowledge of the intellectual property (IP) system and of patents specifically. We recommend that you complete the previous sessions in the series, Part I: IP basics and Part IV: Learn how to draft your patent application, before attending.Register todayFor more information, please email SiliconValley@uspto.gov or RockyMountain@uspto.gov.",Svalley,"Atlantic, Dallas, Denver, Silicon Valley, Detroit, Patents",20240808
48,"Trademark Basics Boot Camp, Module 6: Responding to an office action",https://www.uspto.gov/about-us/events/trademark-basics-boot-camp-module-6-responding-office-action-12,"Tue, 13 Aug 2024 14:00:00 EST","Are you a small business owner or entrepreneur interested in learning about trademarks and how to apply for a federal registration? If so, this event is a must-attend. In this sixth module of our eight-part virtual Trademark Basics Boot Camp, we’ll focus on responding to office actions, the official letters that USPTO examining attorneys issue after reviewing your trademark application. The event is free, but space is limited, so register early.This module will cover the following topics:Trademark basicsOffice action basicsResponse timeframes and deadlinesFiling a responseTips for a successful responseFinding helpThis module will be presented live via Webex from 2-3:30 p.m. ET on Tuesday, August 13, 2024, and will conclude with a question-and-answer session. Please register by August 12. Register todayBe sure to check out our other boot camp modules running consecutively every week for the eight-week duration. You can attend the whole series or just the specific modules that best meet your needs. Separate registration is required for each module. After each event, we'll email registrants links to a video recording of the module and a PDF of the presentation materials. You will only receive access to the recording if you are signed up for that module.For questions about the event or the boot camp series, please contact TMWebinar@uspto.gov.",Trademarks,"Trademarks, Basic Facts, Education, Atlantic, Alexandria VA (Headquarters), Dallas, Denver, Silicon Valley, Detroit",20240813
0,One-day trademarks boot camp,https://www.uspto.gov/about-us/events/one-day-trademarks-boot-camp-21,"Sat, 17 Aug 2024 15:00:00 EST","Join the United States Patent and Trademark Office (USPTO) for a one-day trademarks boot camp on August 17, 2024 from 9 a.m. to 5 p.m. HT at Kaua’i Community College in Lihue, HI. This is an in-person, single-day workshop for entrepreneurs, small businesses, and startups in communities with limited or no internet access, covering what they should know about trademarks.The event explores what trademarks are, the benefits of federal trademark registration, and the basics of the registration process. We’ll also discuss why it’s so important for any new business to select a trademark that is both federally registrable and legally protectable. Specific topics include:Fundamentals and searchingApplications and filingResponses and registrationThere will be plenty of question-and-answer sessions throughout the day, plus a discussion about free resources available through the USPTO. This event is free, but registration is required. For registration information, questions about the one-day event, or the One-day patents and trademarks boot camp series, please email Andriae Holt at Andriae.Holt@uspto.gov.",Patents,"Patents, SOAR, Training, Trademarks",20240817
0,One-day patents boot camp,https://www.uspto.gov/about-us/events/one-day-patents-boot-camp-17,"Mon, 19 Aug 2024 15:00:00 EST","Join the United States Patent and Trademark Office (USPTO) for a one-day patents boot camp on August 19, 2024, from 9 a.m. to 5 p.m. HT at Kuha‘o Business Center in Kahului, Hawaii. This is an in-person, single-day workshop for entrepreneurs, small businesses, and inventors in communities with limited or no internet access, covering tools, techniques, and resources to understand the patent application process.The event provides a scaffolded approach to understanding patents and intellectual property (IP) rights, the importance of claims in a patent application, and the various patent application requirements. It also includes:How to search prior artHow to properly draft claims Understanding the application formsHow to use Patent Center to file electronicallyThere will be plenty of question-and-answer sessions throughout the day, plus a discussion about free resources available through the USPTO. This event is free, but registration is required. For registration information and questions about this event or the One-day patent and trademark boot camp series, please email Andriae M. Holt at Andriae.Holt@uspto.gov.",Patents,"Patents, SOAR, Training",20240819
0,One-day trademarks boot camp,https://www.uspto.gov/about-us/events/one-day-trademarks-boot-camp-20,"Mon, 19 Aug 2024 15:00:00 EST","Join the United States Patent and Trademark Office (USPTO) for a one-day trademarks boot camp on August 19, 2024 from 9 a.m. to 5 p.m. HT at Hale Iako Incubator/Office Building in Kailua-Kona, HI. This is an in-person, single-day workshop for entrepreneurs, small businesses, and startups in communities with limited or no internet access, covering what they should know about trademarks.The event explores what trademarks are, the benefits of federal trademark registration, and the basics of the registration process. We’ll also discuss why it’s so important for any new business to select a trademark that is both federally registrable and legally protectable. Specific topics include:Fundamentals and searchingApplications and filingResponses and registrationThere will be plenty of question-and-answer sessions throughout the day, plus a discussion about free resources available through the USPTO. This event is free, but registration is required. For registration information, questions about the one-day event, or the One-day patents and trademarks boot camp series, please email Andriae Holt at Andriae.Holt@uspto.gov.",Patents,"Patents, SOAR, Training, Trademarks",20240819
0,One-day patents boot camp,https://www.uspto.gov/about-us/events/one-day-patents-boot-camp-15,"Tue, 20 Aug 2024 15:00:00 EST","Join the United States Patent and Trademark Office (USPTO) for a one-day patents boot camp on August 20, 2024, from 9 a.m. to 5 p.m. HT at Hale Iako Incubator/Office Building in Kailua-Kona, HI. This is an in-person, single-day workshop for entrepreneurs, small businesses, and inventors in communities with limited or no internet access, covering tools, techniques, and resources to understand the patent application process.The event provides a scaffolded approach to understanding patents and intellectual property (IP) rights, the importance of claims in a patent application, and the various patent application requirements. It also includes:How to search prior artHow to properly draft claims Understanding the application formsHow to use Patent Center to file electronicallyThere will be plenty of question-and-answer sessions throughout the day, plus a discussion about free resources available through the USPTO. This event is free, but registration is required. For registration information, questions about the one-day event or the One-day patent and trademark boot camp series, please email Andriae M. Holt at Andriae.Holt@uspto.gov.",Patents,"Patents, SOAR, Training",20240820
49,"Trademark Basics Boot Camp, Module 7: Keeping your registration alive",https://www.uspto.gov/about-us/events/trademark-basics-boot-camp-module-7-keeping-your-registration-alive-15,"Tue, 20 Aug 2024 14:00:00 EST","Are you a small business owner or entrepreneur interested in learning about trademarks and how to apply for a federal registration? If so, this event is a must-attend. In this seventh module of our eight-part virtual Trademark Basics Boot Camp, we’ll focus on what happens after registration, including mandatory filings to keep your registration alive. The event is free, but space is limited, so register early.This module will cover the following topics:Trademark basicsRequired post-registration filingsOptional post-registration filingsExamination of post-registration filingsFinding helpThis module will be presented live via Webex from 2-3:30 p.m. ET on Tuesday, August 20, 2024, and will conclude with a question-and-answer session. Please register by August 19.Register todayBe sure to check out our other boot camp modules running consecutively every week for the eight-week duration. You can attend the whole series or just the specific modules that best meet your needs. Separate registration is required for each module. After each event, we'll email registrants links to a video recording of the module and a PDF of the presentation materials. You will only receive access to the recording if you are signed up for that module.For questions about the event or the boot camp series, please contact TMWebinar@uspto.gov.",Trademarks,"Trademarks, Basic Facts, Education, Atlantic, Alexandria VA (Headquarters), Dallas, Denver, Silicon Valley, Detroit",20240820
0,One-day trademarks boot camp,https://www.uspto.gov/about-us/events/one-day-trademarks-boot-camp-25,"Tue, 20 Aug 2024 15:00:00 EST","Join the United States Patent and Trademark Office (USPTO) for a one-day trademarks boot camp on August 20, 2024, from 9 a.m. to 5 p.m. HT at Kuha’o Business Center in Kahului, Hawaii. This is an in-person, single-day workshop for entrepreneurs, small businesses, and startups in communities with limited or no internet access, covering what they should know about trademarks.The event explores what trademarks are, the benefits of federal trademark registration, and the basics of the registration process. We’ll also discuss why it’s so important for any new business to select a trademark that is both federally registrable and legally protectable. Specific topics include:Fundamentals and searchingApplications and filingResponses and registrationThere will be plenty of question-and-answer sessions throughout the day, plus a discussion about free resources available through the USPTO. This event is free, but registration is required. For registration information, questions about the one-day event, or the One-day patents and trademarks boot camp series, please email Andriae Holt at Andriae.Holt@uspto.gov.",Patents,"Patents, SOAR, Training, Trademarks",20240820
0,One-day trademarks boot camp,https://www.uspto.gov/about-us/events/one-day-trademarks-boot-camp-23,"Wed, 21 Aug 2024 15:00:00 EST","Join the United States Patent and Trademark Office (USPTO) for a one-day trademarks boot camp on August 21, 2024 from 9 a.m. to 5 p.m. HT at Entrepreneurs Sandbox in Honolulu, HI. This is an in-person, single-day workshop for entrepreneurs, small businesses, and startups in communities with limited or no internet access, covering what they should know about trademarks.The event explores what trademarks are, the benefits of federal trademark registration, and the basics of the registration process. We’ll also discuss why it’s so important for any new business to select a trademark that is both federally registrable and legally protectable. Specific topics include:Fundamentals and searchingApplications and filingResponses and registrationThere will be plenty of question-and-answer sessions throughout the day, plus a discussion about free resources available through the USPTO. This event is free, but registration is required. For registration information, questions about the one-day event, or the One-day patents and trademarks boot camp series, please email Andriae Holt at Andriae.Holt@uspto.gov.",Patents,"Patents, SOAR, Training, Trademarks",20240821
0,One-day patents boot camp,https://www.uspto.gov/about-us/events/one-day-patents-boot-camp-18,"Wed, 21 Aug 2024 15:00:00 EST","Join the United States Patent and Trademark Office (USPTO) for a one-day patents boot camp on August 21, 2024, from 9 a.m. to 5 p.m. HT at Kuha’o Business Center in Kaunakakai, Hawaii. This is an in-person, single-day workshop for entrepreneurs, small businesses, and inventors in communities with limited or no internet access, covering tools, techniques, and resources to understand the patent application process.The event provides a scaffolded approach to understanding patents and intellectual property (IP) rights, the importance of claims in a patent application, and the various patent application requirements. It also includes:How to search prior artHow to properly draft claims Understanding the application formsHow to use Patent Center to file electronicallyThere will be plenty of question-and-answer sessions throughout the day, plus a discussion about free resources available through the USPTO. This event is free, but registration is required. For registration information and questions about this event or the One-day patent and trademark boot camp series, please email Andriae M. Holt at Andriae.Holt@uspto.gov.",Patents,"Patents, SOAR, Training",20240821
50,"The Path to a Patent, Part VI: Learn how to protect your IP abroad",https://www.uspto.gov/about-us/events/path-patent-part-vi-learn-how-protect-your-ip-abroad-6,"Thu, 22 Aug 2024 14:00:00 EST","Did you know that patents offer territorial rights, meaning that there is no such thing as an international or global patent? Learn how to help protect your intellectual property (IP) in foreign jurisdictions.In part six of this eight-part recurring series, International Patent Legal Administration experts will discuss considerations and options for filing foreign patent applications. The discussion will include an overview of the Patent Cooperation Treaty (PCT) and the use of the Paris Convention for non-PCT countries.Register todayFor more information, please email SiliconValley@uspto.gov or RockyMountain@uspto.gov.",Svalley,"Atlantic, Dallas, Denver, Silicon Valley, Detroit, Patents",20240822
0,One-day patents boot camp,https://www.uspto.gov/about-us/events/one-day-patents-boot-camp-16,"Thu, 22 Aug 2024 15:00:00 EST","Join the United States Patent and Trademark Office (USPTO) for a one-day patents boot camp on August 22, 2024, from 9 a.m. to 5 p.m. HT at HTDC-Entrepreneurs Sandbox in Honolulu, HI. This is an in-person, single-day workshop for entrepreneurs, small businesses, and inventors in communities with limited or no internet access, covering tools, techniques, and resources to understand the patent application process.The event provides a scaffolded approach to understanding patents and intellectual property (IP) rights, the importance of claims in a patent application, and the various patent application requirements. It also includes:How to search prior artHow to properly draft claims Understanding the application formsHow to use Patent Center to file electronicallyThere will be plenty of question-and-answer sessions throughout the day, plus a discussion about free resources available through the USPTO. This event is free, but registration is required. For registration information, questions about the one-day event or the One-day patent and trademark boot camp series, please email Andriae M. Holt at Andriae.Holt@uspto.gov.",Patents,"Patents, SOAR, Training",20240822
0,One-day trademarks boot camp,https://www.uspto.gov/about-us/events/one-day-trademarks-boot-camp-24,"Thu, 22 Aug 2024 15:00:00 EST","Join the United States Patent and Trademark Office (USPTO) for a one-day trademarks boot camp on August 22, 2024, from 9 a.m. to 5 p.m. HT at Kuha‘o Business Center in Kaunakakai, Hawaii. This is an in-person, single-day workshop for entrepreneurs, small businesses, and startups in communities with limited or no internet access, covering what they should know about trademarks.The event explores what trademarks are, the benefits of federal trademark registration, and the basics of the registration process. We’ll also discuss why it’s so important for any new business to select a trademark that is both federally registrable and legally protectable. Specific topics include:Fundamentals and searchingApplications and filingResponses and registrationThere will be plenty of question-and-answer sessions throughout the day, plus a discussion about free resources available through the USPTO. This event is free, but registration is required. For registration information and questions about this event or the One-day patents and trademarks boot camp series, please email Andriae Holt at Andriae.Holt@uspto.gov.",Patents,"Patents, SOAR, Training, Trademarks",20240822
0,One-day patents boot camp,https://www.uspto.gov/about-us/events/one-day-patents-boot-camp-19,"Sat, 24 Aug 2024 15:00:00 EST","Join the United States Patent and Trademark Office (USPTO) for a one-day patents boot camp on August 24, 2024, from 9 a.m. to 5 p.m. HT at Kaua’i Community College in Lihue, Hawaii. This is an in-person, single-day workshop for entrepreneurs, small businesses, and inventors in communities with limited or no internet access, covering tools, techniques, and resources to understand the patent application process.The event provides a scaffolded approach to understanding patents and intellectual property (IP) rights, the importance of claims in a patent application, and the various patent application requirements. It also includes:Specific topics include:How to search prior artHow to properly draft claims Understanding the application formsHow to use Patent Center to file electronicallyThere will be plenty of question-and-answer sessions throughout the day, plus a discussion about free resources available through the USPTO. This event is free, but registration is required. For registration information and questions about this event or the One-day patents and trademarks boot camp series, please email Andriae Holt at Andriae.Holt@uspto.gov.",Patents,"Patents, SOAR, Training",20240824
51,"Trademark Basics Boot Camp, Module 8: Question-and-answer panel",https://www.uspto.gov/about-us/events/trademark-basics-boot-camp-module-8-question-and-answer-panel-14,"Tue, 27 Aug 2024 14:00:00 EST","Are you a small business owner or entrepreneur interested in learning about trademarks and how to apply for a federal registration? If so, this event is a must-attend. In this final module of our eight-part virtual Trademark Basics Boot Camp, we’ll provide a unique opportunity for you to “meet the trademark experts.” Come prepared with all of your trademark questions to share with our Law Office Managing Attorneys and other trademark experts. The event is free, but space is limited, so register early.This module will be presented live via Webex from 2-3:30 p.m. ET on Tuesday, August 27, 2024. Please register by August 26. Register todayBe sure to check out our other boot camp modules running consecutively every week for the eight-week duration. You can attend the whole series or just the specific modules that best meet your needs. Separate registration is required for each module. After each event, we'll email registrants links to a video recording of the module and a PDF of the presentation materials. You will only receive access to the recording if you are signed up for that module.For questions about the event or the boot camp series, please contact TMWebinar@uspto.gov.",Trademarks,"Trademarks, Basic Facts, Education, Atlantic, Alexandria VA (Headquarters), Dallas, Denver, Silicon Valley, Detroit",20240827
52,"The Path to a Patent, Part VII: How to file a patent application using Patent Center",https://www.uspto.gov/about-us/events/path-patent-part-vii-how-file-patent-application-using-patent-center-6,"Thu, 29 Aug 2024 14:00:00 EST","Looking for more information on using Patent Center? In part seven of this eight-part recurring series, our experts will teach participants how to use this tool to file and manage patent documents online.This presentation will feature filing application documents in DOCX format, including using Patent Center training mode to practice filing. You will learn about some helpful resources, such as the Inventors Assistance Center (IAC) and the Patent Electronics Business Center (EBC). Register todayFor more information, please email SiliconValley@uspto.gov or RockyMountain@uspto.gov.",Svalley,"Alexandria VA (Headquarters), Dallas, Denver, Silicon Valley, Detroit, Patents",20240829
53,"The Path to a Patent, Part VIII: Common mistakes and post-filing support",https://www.uspto.gov/about-us/events/path-patent-part-viii-common-mistakes-and-post-filing-support-6,"Thu, 12 Sep 2024 14:00:00 EST","Are you an inventor? Join us for this session full of important tips on filing a patent application and what to do after you file for a patent.In the final part of this eight-part recurring series, you will learn about common mistakes to avoid, and you'll gain a better understanding of post-filing procedures and support. Register todayFor more information, please email SiliconValley@uspto.gov or RockyMountain@uspto.gov.",Svalley,"Alexandria VA (Headquarters), Dallas, Denver, Silicon Valley, Detroit, Patents",20240912
0,One-day patents boot camp,https://www.uspto.gov/about-us/events/one-day-patents-boot-camp-14,"Thu, 19 Sep 2024 09:00:00 EST","Join the United States Patent and Trademark Office (USPTO) for a one-day patents boot camp on September 19, 2024, from 9 a.m. to 5 p.m. ET at the Ohio State Research Commons in the 18th Avenue Library in Columbus, OH. This is an in-person, single-day workshop for entrepreneurs, small businesses, and inventors in communities with limited or no internet access, covering tools, techniques, and resources to understand the patent application process.The event provides a scaffolded approach to understanding patents and intellectual property (IP) rights, the importance of claims in a patent application, and the various patent application requirements. It also includes:How to search prior artHow to properly draft claims Understanding the application formsHow to use Patent Center to file electronicallyThere will be plenty of question-and-answer sessions throughout the day, plus a discussion about free resources available through the USPTO. This event is free, but registration is required. For registration information, questions about the one-day event or the One-day patent and trademark boot camp series, please email Andriae M. Holt at Andriae.Holt@uspto.gov.",Patents,"Patents, SOAR, Training",20240919
0,One-day trademarks boot camp,https://www.uspto.gov/about-us/events/one-day-trademarks-boot-camp-19,"Fri, 20 Sep 2024 09:00:00 EST","Join the United States Patent and Trademark Office (USPTO) for a one-day trademarks boot camp on September 20, 2024 from 9 a.m. to 5 p.m. ET at Columbus Metropolitan Library-Downtown Branch in Columbus, OH. This is an in-person, single-day workshop for entrepreneurs, small businesses, and startups in communities with limited or no internet access, covering what they should know about trademarks.The event explores what trademarks are, the benefits of federal trademark registration, and the basics of the registration process. We’ll also discuss why it’s so important for any new business to select a trademark that is both federally registrable and legally protectable. Specific topics include:Fundamentals and searchingApplications and filingResponses and registrationThere will be plenty of question-and-answer sessions throughout the day, plus a discussion about free resources available through the USPTO. This event is free, but registration is required. For registration information, questions about the one-day event, or the One-day patents and trademarks boot camp series, please email Andriae Holt at Andriae.Holt@uspto.gov.",Patents,"Patents, SOAR, Training, Trademarks",20240920
